id	family	quantity	class	kind	A_values	A_n	A_raw_median	A_raw_min	A_raw_max	A_corr_median	A_corr_rule	spread	contains0	under20ms	s310	stable	reasons	load_bearing	B_rule	A_source	adjudication
SEG|rlxfw|quiet|warm|boot.jump_to_ready	SEG	rlxfw quiet boot.jump_to_ready	warm	board	10.642776,10.644789,10.644678,10.642587,10.538511,10.526669	6	10.642682	10.526669	10.644789	10.793760	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010901	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|rtkload.decompress	SEG	vendor rtkload.decompress	cold	board	1.036909,1.037217,1.036748,1.038023	4	1.037063	1.036748	1.038023	1.060934	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000926	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|rtkload.total	SEG	vendor rtkload.total	cold	board	1.054713,1.050186,1.048721,1.052255	4	1.051220	1.048721	1.054713	1.075694	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.003322	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|kernel.early	SEG	vendor kernel.early	cold	board	0.652201,0.651688,0.651499,0.652501	4	0.651945	0.651499	0.652501	0.666951	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000854	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	raw median: the exact median is x.5 us (v_seg.out); the brief's convention names no rounding mode, so segtable.md's printed value is kept (the spec's SEG source; card B § 3.7 prints the same) - A1; A2 printed half-even; class unaffected
SEG|vendor|-|cold|kernel.wlan	SEG	vendor kernel.wlan	cold	board	4.529564,4.522264,4.522136,4.527160	4	4.524712	4.522136	4.529564	4.630051	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.001072	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|kernel.nic	SEG	vendor kernel.nic	cold	board	0.831993,0.816863,0.815464,0.832872	4	0.824428	0.815464	0.832872	0.843410	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010873	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|kernel.late	SEG	vendor kernel.late	cold	board	0.970690,0.951521,0.953632,0.975365	4	0.962161	0.951521	0.975365	0.984264	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.013723	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|kernel.total	SEG	vendor kernel.total	cold	board	6.984448,6.942336,6.942731,6.987898	4	6.963590	6.942336	6.987898	7.123691	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.003491	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|user.ready	SEG	vendor user.ready	cold	board	18.136586,18.317105,18.094300,18.218087	4	18.177337	18.094300	18.317105	18.611937	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.007689	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|cold|boot.jump_to_ready	SEG	vendor boot.jump_to_ready	cold	board	26.175747,26.309627,26.085752,26.258240	4	26.216994	26.085752	26.309627	26.843809	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.005006	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M1-BOOT,V1-BOOT,V2-BOOT,V3-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|rtkload.decompress	SEG	vendor rtkload.decompress	warm	board	1.031931,1.026900,1.033856,1.034137,1.033709	5	1.033709	1.026900	1.034137	1.059804	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.006587	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|rtkload.total	SEG	vendor rtkload.total	warm	board	1.049544,1.039828,1.043347,1.046750,1.044943	5	1.044943	1.039828	1.049544	1.071956	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.004895	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|kernel.early	SEG	vendor kernel.early	warm	board	0.649589,0.646594,0.650648,0.650366,0.650658	5	0.650366	0.646594	0.650658	0.666921	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.005800	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|kernel.wlan	SEG	vendor kernel.wlan	warm	board	4.502612,4.480443,4.510082,4.488182,4.510554	5	4.502612	4.480443	4.510554	4.622880	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.004924	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|kernel.nic	SEG	vendor kernel.nic	warm	board	0.811838,0.814798,0.813533,0.810057,0.813911	5	0.813533	0.810057	0.814798	0.833880	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.004273	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|kernel.late	SEG	vendor kernel.late	warm	board	0.947985,0.951517,0.948988,0.945917,0.950098	5	0.948988	0.945917	0.951517	0.973590	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.003236	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|kernel.total	SEG	vendor kernel.total	warm	board	6.912024,6.893352,6.923251,6.894522,6.925221	5	6.912024	6.893352	6.925221	7.096403	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.002701	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|user.ready	SEG	vendor user.ready	warm	board	18.095810,17.406208,18.249218,18.250475,18.267388	5	18.249218	17.406208	18.267388	18.705636	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.046194	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|vendor|-|warm|boot.jump_to_ready	SEG	vendor boot.jump_to_ready	warm	board	26.057378,25.339388,26.215816,26.191747,26.237552	5	26.191747	25.339388	26.237552	26.855067	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.032543	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: M2-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|pooled|boot.jump_to_ready	SEG	rlxfw quiet boot.jump_to_ready, cold and warm pooled	pooled	board	10.642776,10.644789,10.644678,10.642587,10.540537,10.538511,10.524899,10.526669	8	10.591562	10.524899	10.644789	10.793760	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.006294	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r01-boot,P2Q-r02-boot,P3Q-r01-boot,P3Q-r02-boot); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): § 7.6 publishes J -> prompt p2q median 10.591562, 8 of 8; UNRESOLVED (load_bearing): N by the spec ('per firmware, variant and class'; card B § 3.10 puts cold and warm in separate tables) / Y by the closing rule's text, which names 'J -> prompt' (§ 7.6 publishes this pooled median, card B § 3.7's model table predicts it) beside 'a boot-timeline segment per firmware, variant and class' with no class. Stable Y, so a seating-B miss here either keeps P2 open or is carried forward: the owner decides before any seating-B value of it is read; COORDINATOR: R1 load_bearing N: DoD D3 puts cold and warm in separate tables with n, median and range per cell, so the rule names each quantity per class; a pooled or per-mode row is scored beside, rule (3)
SEG|rlxfw|loud|pooled|boot.jump_to_ready	SEG	rlxfw loud boot.jump_to_ready, cold and warm pooled	pooled	board	12.374537,12.361805,12.359429	3	12.361805	12.359429	12.374537	12.536056	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.001030	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (P1L-r01-boot,P1L-r02-boot,P1L-r03-boot); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): § 7.6 publishes J -> prompt p2l median 12.361805, 3 of 3; UNRESOLVED (load_bearing): N by the spec ('per firmware, variant and class'; card B § 3.10 puts cold and warm in separate tables) / Y by the closing rule's text, which names 'J -> prompt' (§ 7.6, card B § 3.7's model table) beside 'a boot-timeline segment per firmware, variant and class' with no class. Stable Y, so a seating-B miss here either keeps P2 open or is carried forward: the owner decides before any seating-B value of it is read; COORDINATOR: R1 load_bearing N: DoD D3 puts cold and warm in separate tables with n, median and range per cell, so the rule names each quantity per class; a pooled or per-mode row is scored beside, rule (3)
SEG|rlxfw|quiet|pooled|kernel.total	SEG	rlxfw quiet kernel.total, cold and warm pooled	pooled	board	9.313596,9.314367,9.313921,9.314436,9.224204,9.220552,9.210790,9.212211	8	9.268900	9.210790	9.314436	9.445436	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.006269	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r01-boot,P2Q-r02-boot,P3Q-r01-boot,P3Q-r02-boot); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): card B § 3.7's model table quotes this pooled population (p2q kernel.total)
SEG|rlxfw|loud|pooled|kernel.total	SEG	rlxfw loud kernel.total, cold and warm pooled	pooled	board	11.011379,11.002774,11.001176	3	11.002774	11.001176	11.011379	11.157868	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000782	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (P1L-r01-boot,P1L-r02-boot,P1L-r03-boot); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): § 7.6 publishes it as D7's loud term (11.002774, all three loud boots)
SEG|rlxfw|quiet|pooled|user.ready	SEG	rlxfw quiet user.ready, cold and warm pooled	pooled	board	0.114218,0.114490,0.115006,0.114354,0.113928,0.113162,0.112829,0.112057	8	0.114073	0.112057	0.115006	0.115963	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.017673	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r01-boot,P2Q-r02-boot,P3Q-r01-boot,P3Q-r02-boot); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): card B § 3.7's model table quotes this pooled population (p2q user.ready)
SEG|vendor|-|pooled|kernel.total	SEG	vendor kernel.total, cold and warm pooled	pooled	board	6.984448,6.912024,6.942336,6.942731,6.987898,6.893352,6.923251,6.894522,6.925221	9	6.925221	6.893352	6.987898	7.097777	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.009051	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (M1-BOOT,M2-BOOT,V1-BOOT,V2-BOOT,V3-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): § 7.6 publishes the nine-boot population (9 of 9 inside f_A × 6.93-7.15)
SEG|vendor|-|pooled|boot.jump_to_ready	SEG	vendor boot.jump_to_ready, cold and warm pooled	pooled	board	26.175747,26.057378,26.309627,26.085752,26.258240,25.339388,26.215816,26.191747,26.237552	9	26.191747	25.339388	26.309627	26.855067	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.032543	N	N	-	Y	-	N	card B § 3.7 model table / § 3.4 pools cold and warm; unchanged	bench/2026-09-23/Z9-D2.tsv seg (M1-BOOT,M2-BOOT,V1-BOOT,V2-BOOT,V3-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT); notes/boot-time.md § 7.6; s109/arith2/a1.out N6 'pooled'	kept (A1 only): § 7.6 publishes the vendor's J -> boa over nine boots; UNRESOLVED (load_bearing): N by the spec ('per firmware, variant and class'; card B § 3.10 puts cold and warm in separate tables) / Y by the closing rule's text, which names 'the vendor's J -> boa' (§ 7.6 publishes all nine) beside 'a boot-timeline segment per firmware, variant and class' with no class. Stable Y, so a seating-B miss here either keeps P2 open or is carried forward: the owner decides before any seating-B value of it is read; COORDINATOR: R1 load_bearing N: DoD D3 puts cold and warm in separate tables with n, median and range per cell, so the rule names each quantity per class; a pooled or per-mode row is scored beside, rule (3)
SEG+|J_first_read_minus_sent	SEG+	typed J: first read's arrival − sent_s (instrument)	pooled	host-timer	0.000073,0.000087,0.000085,0.000062,0.000061,0.000082,0.000082,0.000072,0.000080,0.000066,0.000070,0.000082,0.000064,0.000089,0.000063,0.000098,0.000081,0.000082,0.000140	19	0.000081	0.000061	0.000140	0.000081	face	0.728395	N	Y	-	N	spread 0.728395 >= 0.10; under20ms	N	card B: not named; console-capture 1.5 on RAW	bench/2026-09-23/<boot>.timing row 0 and meta sent_s (this script); added: § 7.6 prints +61…+140 µs [captures: P1L-r01-boot,P1L-r02-boot,P1L-r03-boot,P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r01-boot,P2Q-r02-boot,P3Q-r01-boot,P3Q-r02-boot,V1-BOOT,V2-BOOT,V3-BOOT,V4-BOOT,V5-BOOT,V6-BOOT,V7-BOOT,M2-BOOT]	kept (A2 only): § 7.6 publishes +61...+140 us on all 19 boots with a send, a seating-A number no family covers (spec: add a row); N by under20ms
D2G|rlxfw-cold|loader.banner	D2G	loader.banner (Booting -> banner), D2 group rlxfw-cold	cold	board	0.586139,0.572666,0.570576	3	0.572666	0.570576	0.586139	0.586303	raw / r_best per catch (f5-best.tsv)	0.023527	N	N	-	Y	-	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (P1-A,P2-A,P3-A); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|rlxfw|cold	
D2G|vendor-cold|loader.banner	D2G	loader.banner (Booting -> banner), D2 group vendor-cold	cold	board	0.573338,0.572912,0.573108	3	0.573108	0.572912	0.573338	0.586157	raw / r_best per catch (f5-best.tsv)	0.000401	N	N	-	Y	-	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (V1-A,V2-A,V3-A); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|vendor|cold	
D2G|rlxfw-warm|loader.banner	D2G	loader.banner (Booting -> banner), D2 group rlxfw-warm	warm	board	0.588975,0.588883,0.587803,0.587734,0.589023,0.587553,0.582207,0.581185	8	0.587768	0.581185	0.589023	0.596032	raw / r_best per catch (f5-best.tsv)	0.011201	N	N	-	Y	-	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (P1L-r02-rz,P1L-r03-rz,P1-RZ,P1Q-r02-rz,P1Q-r03-rz,P1Q-r04-rz,P2Q-r02-rz,P3Q-r02-rz); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|rlxfw|warm	
D2G|vendor-warm|loader.banner	D2G	loader.banner (Booting -> banner), D2 group vendor-warm	warm	board	0.578614,0.581304,0.582232,0.572747	4	0.579959	0.572747	0.582232	0.595841	raw / r_best per catch (f5-best.tsv)	0.012435	N	N	-	Y	-	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (V4-WZ,V5-WZ,V6-WZ,V7-WZ); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|vendor|warm	
D2G|loader-only-cold|loader.banner	D2G	loader.banner (Booting -> banner), D2 group loader-only-cold	cold	board	0.572387,0.566361,0.573193,0.571129,0.572033	5	0.572033	0.566361	0.573193	0.586096	raw / r_best per catch (f5-best.tsv)	0.009916	N	N	-	Y	-	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (V4-A,V5-A,V6-A,V7-A,M2-A); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|loader-only|cold	
D2G|M1-BOOT|loader.banner	D2G	loader.banner (Booting -> banner), D2 group M1-BOOT	listen	board	0.572643	1	0.572643	0.572643	0.572643	0.585572	raw / r_best per catch (f5-best.tsv)	0.000000	N	N	listed	N	listed	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (M1-BOOT); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|M1|listen	
D2G|M2-BOOT|loader.banner	D2G	loader.banner (Booting -> banner), D2 group M2-BOOT	listen	board	0.580757	1	0.580757	0.580757	0.580757	0.596113	raw / r_best per catch (f5-best.tsv)	0.000000	N	N	listed	N	listed	N	Z9-D2.tsv loader rows by card B § 3.1's group; unchanged	bench/2026-09-23/Z9-D2.tsv loader (M2-BOOT); membership typed from card B § 3.1; s106/c-clock/f5-best.tsv | A2 id D2G|M2|listen	
D2D|warm:rlxfw-vendor	D2D	D2 difference of loader.banner group medians, rlxfw-warm minus vendor-warm	warm	board	0.007810	1	0.007810	0.007810	0.007810	0.000191	difference of r_best-corrected group medians	0.000000	N	Y	-	N	under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1 | A2 id D2D|warm|rlxfw-vendor	exact difference of the two medians (v_seg.out) rounds to A2's value under half-up and half-even alike; A1's is a binary-float truncation - A2
D2D|cold:rlxfw-vendor	D2D	D2 difference of loader.banner group medians, rlxfw-cold minus vendor-cold	cold	board	-0.000442	1	-0.000442	-0.000442	-0.000442	0.000146	difference of r_best-corrected group medians	0.000000	N	Y	-	N	under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1 | A2 id D2D|cold|rlxfw-vendor	
D2D|M1-rlxfw_cold	D2D	D2 difference of loader.banner group medians, M1-BOOT minus rlxfw-cold	listen	board	-0.000023	1	-0.000023	-0.000023	-0.000023	-0.000731	difference of r_best-corrected group medians	0.000000	N	Y	listed	N	listed; under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1	
D2D|M1-vendor_cold	D2D	D2 difference of loader.banner group medians, M1-BOOT minus vendor-cold	listen	board	-0.000465	1	-0.000465	-0.000465	-0.000465	-0.000585	difference of r_best-corrected group medians	0.000000	N	Y	listed	N	listed; under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1	
D2D|M2-rlxfw_warm	D2D	D2 difference of loader.banner group medians, M2-BOOT minus rlxfw-warm	listen	board	-0.007012	1	-0.007012	-0.007012	-0.007012	0.000080	difference of r_best-corrected group medians	0.000000	N	Y	listed	N	listed; under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1	exact difference of the two medians (v_seg.out) rounds to A2's value under half-up and half-even alike; A1's is a binary-float truncation - A2
D2D|M2-vendor_warm	D2D	D2 difference of loader.banner group medians, M2-BOOT minus vendor-warm	listen	board	0.000798	1	0.000798	0.000798	0.000798	0.000272	difference of r_best-corrected group medians	0.000000	N	Y	listed	N	listed; under20ms	N	Z9-D2A/Z9-D2X, the 105th segment's script; unchanged	bench/2026-09-23/Z9-D2.tsv loader; s106/c-clock/f5-best.tsv; notes/boot-time.md § 7.1	
D7|delta	D7	kernel.total loud minus quiet, press-1 medians	pooled	board	1.688630	1	1.688630	1.688630	1.688630	1.712433	each boot / its f6 window r (all seven 0.98610), then medians	0.000000	N	N	-	Y	-	Y	card B § 3.3: press-1 medians, same form; unchanged	bench/2026-09-23/Z9-D2.tsv seg kernel.total (P1L-r01-boot,P1L-r02-boot,P1L-r03-boot,P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot); s106/c-clock/f6-rt4.tsv	class pooled: Δ is of press-1 medians; the loud one pools P1L-r01 (cold) with P1L-r02, r03 (warm), the quiet one is P1Q-r01..r04 (all warm), per Z9-D2.tsv's kboot classes - A2
D7|rate_pct3840	D7	implied console rate f*dB/delta as % of 3,840 B/s (f = own warm loader.booting median / 0.353718)	pooled	board	88.324507	1	88.324507	88.324507	88.324507	89.237208	f from r_best-corrected warm median 0.355963, delta corrected	0.000000	N	N	-	Y	-	N	card B § 3.3 f_B*dB/delta with seating B's own warm median; unchanged in form	Z9-D2.tsv; P1L-r01-boot/P1Q-r01-boot .meta.json bytes; s106/c-clock/f5-best.tsv; 0.353718 typed (card B § 3.0) | A2 id D7|rate_pct	same number: A2's 88.325/89.237 are the 3-dp roundings (§ 7.6, card B § 3.3) of A1's 88.324507/89.237208 = f·5,831/Δ/3,840; A1's precision kept; class pooled (A2); under20ms N (a %, not a time)
D8|nic|loud|cold	D8	rlxfw loud J -> NIC probe (lm nic)	cold	board	7.893691	1	7.893691	7.893691	7.893691	8.004960	raw / f6 window r (a1.out N9's r)	0.000000	N	N	-	Y	-	N	card B § 3.4: board part from Z9-D2 landmarks and FW-35 arrival; unchanged	s109/arith2/a1.out N9 (P1L-r01-boot); own FW-35 read of the .log/.timing; class from Z9-D2.tsv kboot	
D8|ndopen|loud|cold	D8	rlxfw loud J -> RLXFW-N-NDOPEN first byte (FW-35)	cold	board	12.343919	1	12.343919	12.343919	12.343919	12.517918	raw / f6 window r (a1.out N9's r)	0.000000	N	N	-	Y	-	Y	card B § 3.4: board part from Z9-D2 landmarks and FW-35 arrival; unchanged	s109/arith2/a1.out N9 (P1L-r01-boot); own FW-35 read of the .log/.timing; class from Z9-D2.tsv kboot	
D8|nic2ndopen|loud|cold	D8	rlxfw loud NIC probe -> RLXFW-N-NDOPEN	cold	board	4.450228	1	4.450228	4.450228	4.450228	4.512958	raw / f6 window r (a1.out N9's r)	0.000000	N	N	-	Y	-	N	card B § 3.4: board part from Z9-D2 landmarks and FW-35 arrival; unchanged	s109/arith2/a1.out N9 (P1L-r01-boot); own FW-35 read of the .log/.timing; class from Z9-D2.tsv kboot	
D8|lanup|loud|cold	D8	rlxfw loud J -> 'rlxfw: lan up' first byte (FW-35)	cold	board	12.350177	1	12.350177	12.350177	12.350177	12.524264	raw / f6 window r	0.000000	N	N	-	Y	-	N	not scored by card B; boot-timeline/FW-35 would read it the same way	own FW-35 read of bench/2026-09-23/<boot>.log/.timing; notes § 7.3 publishes J+10.61-10.62	
